episode,success,initial_distance_m,final_distance_m,steps,episode_reward,target_x,target_y,target_z,final_ee_x,final_ee_y,final_ee_z,error_x,error_y,error_z,abs_error_x,abs_error_y,abs_error_z
14,1,0.3121074140071869,0.0304229278117418,23,2.267027924656868,0.4458025395870209,0.0979974344372749,0.3284550905227661,0.4526898264884949,0.0954630002379417,0.3579795956611633,-0.006887286901473999,0.002534434199333205,-0.02952450513839716,0.006887286901473999,0.002534434199333205,0.02952450513839716
15,1,0.324176549911499,0.0273206792771816,25,1.9103068341314795,0.4284659028053283,0.1004204452037811,0.3069729804992676,0.4384806752204895,0.1014689654111862,0.3323703110218048,-0.010014772415161188,-0.0010485202074051042,-0.02539733052253723,0.010014772415161188,0.0010485202074051042,0.02539733052253723
16,1,0.352027416229248,0.0338215380907058,26,1.330444075614213,0.4979330897331238,0.0400142259895801,0.2972265779972076,0.478393405675888,0.0338681749999523,0.3241398334503174,0.019539684057235773,0.0061460509896277965,-0.026913255453109797,0.019539684057235773,0.0061460509896277965,0.026913255453109797
17,1,0.3218730390071869,0.0343625359237194,27,1.4758043251931667,0.5693721771240234,0.0242415331304073,0.4053758084774017,0.5373156666755676,0.0278544276952743,0.4172126650810241,0.03205651044845581,-0.0036128945648670023,-0.011836856603622437,0.03205651044845581,0.0036128945648670023,0.011836856603622437
18,1,0.2690723538398742,0.0348085686564445,23,2.7650662994384763,0.4616432785987854,-0.0399033688008785,0.3737074136734009,0.4500589370727539,-0.0721997544169426,0.3678437173366546,0.011584341526031494,0.0322963856160641,0.005863696336746271,0.011584341526031494,0.0322963856160641,0.005863696336746271
19,1,0.282779335975647,0.0302804727107286,21,2.7659455226361755,0.4909912645816803,0.0878196135163307,0.3942943811416626,0.4743573069572449,0.0869983807206153,0.4195835888385772,0.016633957624435425,0.0008212327957154014,-0.025289207696914617,0.016633957624435425,0.0008212327957154014,0.025289207696914617
20,1,0.332150787115097,0.0348302125930786,33,1.157836705446242,0.4748811721801758,-0.2490988224744796,0.4485077559947967,0.441437155008316,-0.2394442111253738,0.4497035443782806,0.0334440171718598,-0.00965461134910578,-0.0011957883834838867,0.0334440171718598,0.00965461134910578,0.0011957883834838867
22,1,0.2336831092834472,0.0341205522418022,20,3.2626743558049203,0.3780337870121002,0.2023520320653915,0.4974340498447418,0.3959541022777557,0.1733171492815017,0.4976575672626495,-0.017920315265655462,0.029034882783889826,-0.00022351741790765933,0.017920315265655462,0.029034882783889826,0.00022351741790765933
23,1,0.1832572370767593,0.0338338874280452,14,4.062974969595671,0.3676205575466156,-0.0708843916654586,0.4325161576271057,0.3854712545871734,-0.0630996227264404,0.4601835012435913,-0.017850697040557806,-0.007784768939018194,-0.027667343616485596,0.017850697040557806,0.007784768939018194,0.027667343616485596
24,1,0.275168776512146,0.0334106646478176,21,2.762538533210754,0.4442714154720306,0.0335248783230781,0.3541427552700043,0.4499984979629516,0.025291820988059,0.3860126435756683,-0.0057270824909210205,0.008233057335019101,-0.03186988830566401,0.0057270824909210205,0.008233057335019101,0.03186988830566401
25,1,0.3771883249282837,0.0338067971169948,40,-0.5165700255334382,0.5822636485099792,0.2292322069406509,0.4720988571643829,0.5678924322128296,0.2226068079471588,0.4422245919704437,0.014371216297149658,0.006625398993492099,0.029874265193939153,0.014371216297149658,0.006625398993492099,0.029874265193939153
