episode,success,target_x,target_y,object_x,object_y,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z,goal_x,goal_y,goal_z
13,1,0.559219651265042,-0.05645835373094857,0.5592196583747864,-0.056458353996276855,0.4848850965499878,0.03941866755485535,38,-2.036411958783865,0.5199872851371765,-0.05287979543209076,0.1813587248325348,0.5592196583747864,-0.056458353996276855,0.18000000715255737
14,1,0.4269988600978255,0.05876247033786758,0.4269988536834717,0.05876247212290764,0.4314732551574707,0.03980626165866852,37,-1.4613498547673238,0.45717865228652954,0.073701411485672,0.20122608542442322,0.4269988536834717,0.05876247212290764,0.18000000715255737
15,1,0.5844105004251848,-0.11642569319929096,0.5844104886054993,-0.11642569303512573,0.5087453126907349,0.037655074149370193,38,-2.5882456266880034,0.5638250112533569,-0.0860615074634552,0.18849465250968933,0.5844104886054993,-0.11642569303512573,0.18000000715255737
16,1,0.5454150633793111,-0.12624353988965525,0.5454150438308716,-0.12624354660511017,0.4910101294517517,0.038751352578401566,38,-2.229709216058253,0.5441022515296936,-0.08858336508274078,0.1890363097190857,0.5454150438308716,-0.12624354660511017,0.18000000715255737
17,1,0.5447441789419795,-0.14410097810353595,0.5447441935539246,-0.14410097897052765,0.49557965993881226,0.036146845668554306,40,-2.4477823252975934,0.5571703314781189,-0.11055126786231995,0.18515776097774506,0.5447441935539246,-0.14410097897052765,0.18000000715255737
18,1,0.5982733087750536,-0.18045977466494165,0.5982733368873596,-0.18045976758003235,0.5345237255096436,0.03809880092740059,43,-3.5718467748165112,0.6164637804031372,-0.14761139452457428,0.18645063042640686,0.5982733368873596,-0.18045976758003235,0.18000000715255737
19,1,0.4715068872183358,0.056465230234544084,0.47150689363479614,0.056465230882167816,0.44560691714286804,0.039448004215955734,35,-1.3006810730695726,0.482628732919693,0.06538650393486023,0.21678125858306885,0.47150689363479614,0.056465230882167816,0.18000000715255737
20,1,0.5242425187648653,-0.13173740281543844,0.5242425203323364,-0.13173739612102509,0.48255741596221924,0.03749699145555496,39,-2.154740636497735,0.5319223403930664,-0.095192089676857,0.18338902294635773,0.5242425203323364,-0.13173739612102509,0.18000000715255737
21,1,0.4198773814156147,-0.07856329229026669,0.41987738013267517,-0.07856329530477524,0.432701051235199,0.039779309183359146,39,-1.7001131555438027,0.43421614170074463,-0.04176825284957886,0.1847873032093048,0.41987738013267517,-0.07856329530477524,0.18000000715255737
22,1,0.44404099722752355,0.09484655835077166,0.444040983915329,0.09484656155109406,0.4428226053714752,0.03656473383307457,37,-1.4584610907733424,0.46408703923225403,0.11637183278799057,0.2017209231853485,0.444040983915329,0.09484656155109406,0.18000000715255737
23,1,0.46817709529962537,0.07340350888559022,0.46817710995674133,0.0734035074710846,0.4468567371368408,0.0333748497068882,36,-1.3349652689695342,0.4799196422100067,0.08767680823802948,0.20778968930244446,0.46817710995674133,0.0734035074710846,0.18000000715255737
24,1,0.5946184206340492,0.07685220832958378,0.5946184396743774,0.0768522098660469,0.50689297914505,0.0376443974673748,44,-2.918204777687789,0.5673134922981262,0.1020522266626358,0.17395851016044617,0.5946184396743774,0.0768522098660469,0.18000000715255737
