episode,success,target_x,target_y,object_x,object_y,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z,goal_x,goal_y,goal_z
11,1,0.5778413656578317,-0.16891973700135743,0.5778413414955139,-0.16891974210739136,0.5198071002960205,0.03908412903547287,42,-3.1368353092670453,0.5975253582000732,-0.13619664311408997,0.18832512199878693,0.5778413414955139,-0.16891974210739136,0.18000000715255737
12,0,0.45180037779713356,-0.1554767964715198,0.455778032541275,-0.1555340737104416,0.4620125889778137,0.046355750411748886,120,-11.784188053458925,0.48093467950820923,-0.11659882217645645,0.1802119016647339,0.455778032541275,-0.1555340737104416,0.18000000715255737
13,0,0.5217469270367205,-0.18881900072292887,0.5217469334602356,-0.1888190060853958,0.5000815391540527,0.06999573111534119,120,-13.656352159194642,0.5779708623886108,-0.14712651073932648,0.17991231381893158,0.5217469334602356,-0.1888190060853958,0.18000000715255737
14,1,0.5116508533665681,-0.1459224415175807,0.5116508603096008,-0.1459224373102188,0.481132447719574,0.03987069055438042,42,-2.3728771683573724,0.5395762920379639,-0.11747715622186661,0.1808415949344635,0.5116508603096008,-0.1459224373102188,0.18000000715255737
15,0,0.4543420156979265,-0.1702268044784316,0.45702239871025085,-0.17034800350666046,0.4679766893386841,0.05456304922699928,120,-12.60295096576214,0.4905962646007538,-0.1273375302553177,0.1801457554101944,0.45702239871025085,-0.17034800350666046,0.18000000715255737
16,0,0.5756514052256059,-0.17872547443135847,0.5756514072418213,-0.1787254810333252,0.5219454169273376,0.05991183593869209,120,-12.927108994014556,0.6246175169944763,-0.1442045271396637,0.17977185547351837,0.5756514072418213,-0.1787254810333252,0.18000000715255737
17,0,0.4551573693554271,-0.14474990689442843,0.45748192071914673,-0.14472085237503052,0.4595851004123688,0.04068082571029663,120,-11.18585959777236,0.4769781231880188,-0.10901691764593124,0.18023814260959625,0.45748192071914673,-0.14472085237503052,0.18000000715255737
18,0,0.4902300073388787,-0.199632758485092,0.490229994058609,-0.19963276386260986,0.49167105555534363,0.07474793493747711,120,-14.332992246970528,0.5458756685256958,-0.14972476661205292,0.17993709444999695,0.490229994058609,-0.19963276386260986,0.18000000715255737
19,0,0.48552095134007967,-0.17026610035181228,0.48552095890045166,-0.17026610672473907,0.47872164845466614,0.061002377420663834,120,-12.830334053263064,0.5276334285736084,-0.12613189220428467,0.17996898293495178,0.48552095890045166,-0.17026610672473907,0.18000000715255737
20,0,0.5164427818048704,-0.1675092778311704,0.5164427757263184,-0.1675092726945877,0.490141361951828,0.062248148024082184,120,-12.736062755808232,0.5638566017150879,-0.12717749178409576,0.1796703338623047,0.5164427757263184,-0.1675092726945877,0.18000000715255737
21,0,0.4670223300807925,-0.1526297785094166,0.4670223295688629,-0.1526297777891159,0.4660663604736328,0.04565320909023285,120,-11.595689094960688,0.4947599470615387,-0.11636944115161896,0.18016783893108368,0.4670223295688629,-0.1526297777891159,0.18000000715255737
22,0,0.5250139043127988,-0.1720304714914079,0.5250139236450195,-0.1720304787158966,0.49541613459587097,0.06421798467636108,120,-12.938061675205837,0.5752432346343994,-0.13201972842216492,0.17967475950717926,0.5250139236450195,-0.1720304787158966,0.18000000715255737
23,0,0.5450630478037022,-0.16087519806864806,0.5450630187988281,-0.16087520122528076,0.5008658766746521,0.05873935669660568,120,-12.360353754311797,0.592119038105011,-0.12572579085826874,0.17925035953521729,0.5450630187988281,-0.16087520122528076,0.18000000715255737
24,0,0.5302668277664379,-0.19137158186343825,0.5302668213844299,-0.19137157499790192,0.5047608613967896,0.07033923268318176,120,-13.720247608944774,0.5878878235816956,-0.15103048086166382,0.1798466444015503,0.5302668213844299,-0.19137157499790192,0.18000000715255737
