dx,dy,dz,trials,successes,mean_descent_error,mean_abs_residual_x,mean_abs_residual_y,mean_abs_residual_z,mean_object_lift,success_rate_percent,correction_magnitude
0.005,0.005,0.0,6,0,0.021826332889559364,0.004090726176897634,0.0036954620977242333,0.021073905043303934,-2.7896215518315635e-06,0.0,0.007071067811865475
-0.005,-0.005,0.0,6,0,0.02190427903588255,0.00104702850182845,0.0054376259942849,0.021177396091322066,3.4164326886336006e-05,0.0,0.007071067811865475
0.005,-0.005,0.0,6,0,0.022212643583561634,0.004072139461835166,0.005339176505804,0.021117041421433235,1.1226162314414978e-05,0.0,0.007071067811865475
-0.005,0.005,0.005,6,0,0.016989841509342365,0.0014205211400985164,0.0036604195336500164,0.0165228944147626,-2.7896215518315635e-06,0.0,0.008660254037844387
0.005,0.005,0.005,6,0,0.017236480743588436,0.0035441863536834,0.0035374489426611994,0.016426340478161935,-1.8673017621040344e-06,0.0,0.008660254037844387
-0.005,-0.005,0.005,6,0,0.017445737190057684,0.00102195481459295,0.005256044169266983,0.016587093584239435,6.629154086112975e-06,0.0,0.008660254037844387
0.005,-0.005,0.005,6,0,0.0177529431311958,0.0036286958058674664,0.0051189435521761,0.01653920621921615,6.155731777350108e-06,0.0,0.008660254037844387
0.0,0.0,0.01,6,0,0.012791617593250468,0.001972789565722067,0.0045024380087852,0.011800280772149516,-4.269493122895558e-06,0.0,0.01
0.01,0.0,0.0,6,0,0.022350086307195885,0.005677441358566234,0.004578636338313384,0.020998378507792917,-2.7914841969807944e-06,0.0,0.01
0.0,0.005,0.01,6,0,0.012542136254482765,0.00201720992724095,0.0036265342930952,0.011831015658875248,-2.7896215518315635e-06,0.0,0.011180339887498949
-0.005,0.0,0.01,6,0,0.012678225214726717,0.0013262663284937,0.004524075736602099,0.011763995202879083,-2.7896215518315635e-06,0.0,0.011180339887498949
0.0,-0.005,0.01,6,0,0.013014048064439085,0.0019428978363672663,0.00514396136005715,0.011781485440830334,-4.923902451992034e-06,0.0,0.011180339887498949
0.005,0.0,0.01,6,0,0.013026770048241149,0.0031985986232757166,0.004418687274058617,0.011772595656414782,-2.7896215518315635e-06,0.0,0.011180339887498949
0.01,0.0,0.005,6,0,0.017881364806629482,0.004993075728416416,0.004378375907738933,0.016455078298846834,-5.4246435562769575e-06,0.0,0.011180339887498949
0.01,0.005,0.0,6,0,0.02216186193860742,0.005741561055183367,0.0036107787986595836,0.02097472539792453,-2.7939677238464355e-06,0.0,0.011180339887498949
-0.005,0.005,0.01,6,0,0.012444974047374135,0.0015552028020222501,0.0036531105140844163,0.011790382675826517,-2.7917946378389993e-06,0.0,0.012247448713915891
0.005,0.005,0.01,6,0,0.012790943204509983,0.00333289782206215,0.0035035612185795833,0.011783378198742816,-4.2710453271865845e-06,0.0,0.012247448713915891
-0.005,-0.005,0.01,6,0,0.01293498791328295,0.0010470632712045666,0.005242212166388784,0.011767539195716333,-3.4676243861516315e-07,0.0,0.012247448713915891
0.005,-0.005,0.01,6,0,0.013226644348550101,0.003071879148483267,0.005068315615256566,0.011758417511979667,1.5848005811373394e-05,0.0,0.012247448713915891
0.01,0.005,0.005,6,0,0.017666308009322333,0.0050424234072367,0.0034302561978498502,0.016448898352682564,-2.2863969206809998e-06,0.0,0.012247448713915891
0.01,-0.005,0.005,6,0,0.0180671589705386,0.0049531257152557,0.005077535708745267,0.016464263933400284,-6.901100277900696e-06,0.0,0.012247448713915891
0.01,0.0,0.01,6,0,0.013342890195515983,0.004257643818855233,0.004336378226677534,0.011734783959885383,-2.7896215518315635e-06,0.0,0.01414213562373095
0.01,0.005,0.01,6,0,0.013149878018799651,0.004393830498059533,0.003372871826092333,0.011783831131954933,-2.7899319926897683e-06,0.0,0.015
0.01,-0.005,0.01,6,0,0.013536580577399334,0.0041736658414204325,0.0049748915433883165,0.011725982340673534,-6.325853367646535e-06,0.0,0.015
0.015,0.0,0.0,6,0,0.022838995230307566,0.006881599028905201,0.004548339794079417,0.021056180112063866,-2.7896215518315635e-06,0.0,0.015
0.015,0.0,0.005,6,0,0.01834109245562665,0.005985045830408716,0.004314061254262866,0.0165409744903445,-2.7896215518315635e-06,0.0,0.015811388300841896
0.015,0.005,0.0,6,0,0.022636053433886968,0.006940687100092516,0.003559610694646767,0.020995055238405835,3.6818285783131916e-07,0.0,0.015811388300841896
0.015,-0.005,0.0,6,0,0.023027138954989868,0.006781155268351199,0.005336357702811532,0.021099013499915553,-2.7896215518315635e-06,0.0,0.015811388300841896
0.015,0.005,0.005,6,0,0.018169922263021884,0.006143271327018684,0.003356463164091067,0.016514648174246117,-8.482796450455984e-06,0.0,0.016583123951777
0.015,-0.005,0.005,6,0,0.018522114344900684,0.005837603807449333,0.005065088272094683,0.016563545403381136,-3.0485292275746665e-06,0.0,0.016583123951777
0.015,0.0,0.01,6,0,0.013741688204557782,0.0049679919083912664,0.004214614629745417,0.01185867221405105,-2.7896215518315635e-06,0.0,0.018027756377319945
0.015,0.005,0.01,6,0,0.013572086789726616,0.00520156761010485,0.003260242640972083,0.01185715229560925,-2.7914841969807944e-06,0.0,0.01870828693386971
0.015,-0.005,0.01,6,0,0.013932801582346733,0.004811504880587234,0.0049100491404533006,0.011862462076048033,-2.7896215518315635e-06,0.0,0.01870828693386971
