source_episode,object_x,object_y,policy,dx,dy,dz,pregrasp_success,pregrasp_distance,grasp_success,alignment_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,lift_tracking_error,object_lift,object_xy_motion,hand_object_distance
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,0.005,0.0,1,0.03632752597332001,0,0.00589655350719263,0.021457724754211385,0.0010266554355621293,-0.003503310382366176,-0.02114489883184434,0.012390711282871282,-3.3229589462280273e-06,0.022644029449439395,0.3220624553481419
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,0.005,0.0,1,0.03543735668063164,0,0.005427428710543057,0.02125807434986006,0.0011686336994171098,-0.0036303204298019365,-0.020913172736763963,0.012303613279851478,0.0,0.01901725488454952,0.32184243779624905
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,0.005,0.0,1,0.037261828780174255,0,0.006269987765545408,0.02148063578932265,0.0007924687862396196,-0.003418701589107509,-0.02119203120470048,0.012431244741992904,-6.893649697303772e-06,0.020829965672732875,0.3219304664596993
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,0.005,0.0,1,0.037347082048654556,0,0.005691891872190925,0.02131983394397331,0.001324827671051021,-0.0037262615561485246,-0.02094982400536538,0.012297107604970395,-2.3301690816879272e-06,0.0212095910785547,0.3218792411589811
14,0.4063156247138977,-0.0965389907360076,original,-0.005,0.005,0.005,1,0.039500731974840164,0,0.008048505040539588,0.017370358992319625,-0.0016431856155395552,-0.004187780320644374,-0.016777717620134358,0.012547787112026755,-3.028661012649536e-06,0.019949886840113666,0.3227176349307909
27,0.4140132665634155,-0.096694678068161,original,-0.005,0.005,0.005,1,0.038622889667749405,0,0.007895196353337422,0.017574666143405252,-0.002084438800811772,-0.004175710380077358,-0.016943655088543896,0.012564665539170504,-3.0174851417541504e-06,0.019885084337481266,0.32283604892204637
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,0.005,0.005,1,0.03632752597332001,0,0.00589655350719263,0.016818788892211202,0.0010894489288330034,-0.0033194896578788713,-0.01645192235708237,0.012409653719045803,-3.3229589462280273e-06,0.021181081544547183,0.3226459607969896
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,0.005,0.005,1,0.03791622444987297,0,0.0058907740966823875,0.016646593727625354,0.0013039362430572465,-0.003509002625942226,-0.016220226064324383,0.012340430753351816,1.1548399925231934e-07,0.019228739574186453,0.32243031243719056
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,0.005,0.005,1,0.03552308306097984,0,0.005994389684250416,0.01690785983857647,0.0009702992439269975,-0.0032180127501487688,-0.0165704145282507,0.012446938044012094,-5.153939127922058e-06,0.021693675676902016,0.32270820015348045
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,0.005,0.005,1,0.037347082048654556,0,0.005691891872190925,0.016620781461916576,0.0014318180084228471,-0.003552521467208858,-0.016173430830240254,0.012309194197138358,-2.3301690816879272e-06,0.018738166725946515,0.32239122096752326
14,0.4063156247138977,-0.0965389907360076,original,-0.005,0.005,0.01,1,0.039500731974840164,0,0.008048505040539588,0.013306631149155349,-0.0016650307178497359,-0.0040041607618331865,-0.012580174952745438,0.012578815477866783,-3.032386302947998e-06,0.0166503415461852,0.32335345894869716
27,0.4140132665634155,-0.096694678068161,original,-0.005,0.005,0.01,1,0.038622889667749405,0,0.007895196353337422,0.01340789469617646,-0.0020779418945312544,-0.003979439735412593,-0.012633996084332466,0.012595599217873643,-3.0174851417541504e-06,0.01833222614982576,0.32350099194992643
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,0.005,0.01,1,0.03632752597332001,0,0.00589655350719263,0.012044854352644766,0.0012655210494995073,-0.0034094554185867265,-0.011482708156108856,0.012414215854512587,-3.3229589462280273e-06,0.018714879427909194,0.3230182963782031
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,0.005,0.01,1,0.03791622444987297,0,0.0058907740966823875,0.01188299131195146,0.00152799010276794,-0.0036200311779975847,-0.011214548721909523,0.012343806442522831,1.1548399925231934e-07,0.01884663756197377,0.3228071655524777
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,0.005,0.01,1,0.03552308306097984,0,0.005994389684250416,0.01215233647193827,0.0011115324497222856,-0.0032869753241538957,-0.011646440252661705,0.012453289919930095,-5.153939127922058e-06,0.019994579599075694,0.3231251472763388
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,0.005,0.01,1,0.037347082048654556,0,0.005691891872190925,0.011875136302378882,0.001683200597763057,-0.0036186006665229753,-0.01118442788720131,0.012312477388401374,-2.339482307434082e-06,0.016431749706729896,0.3227473829574115
14,0.4063156247138977,-0.0965389907360076,original,0.0,-0.005,0.0,1,0.03977341577410698,0,0.008079886872423421,0.022425026299038753,0.0025906264781951904,-0.006667290925979619,-0.021253651231527337,0.012652692938599018,5.239807069301605e-05,0.0025454720573291323,0.3220448086979799
