source_episode,object_x,object_y,policy,safe_x,success,pregrasp_distance,high_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,inward_error,inward_residual_x,inward_residual_y,inward_residual_z,lift_error,object_lift
32,0.4252530634403229,-0.1087189391255378,targeted,0.45,1,0.03552308306097984,0.009826129477793929,0.0063790799628967035,0.0016653656959533802,-0.003381788730621338,-0.005146136730909356,0.01241522213083469,-0.011121869087219238,-0.002939358353614807,-0.00466925486922265,0.01514519677539924,0.18357345089316368
67,0.4106421172618866,-0.1034040749073028,targeted,0.45,1,0.037347082048654556,0.011440411394879318,0.006397957863891626,0.0018020689487457386,-0.003345116972923279,-0.0051474852859974,0.019658489409985307,-0.01644909381866455,-0.00319642573595047,-0.010279415398836145,0.015221225235083631,0.17346945777535439
14,0.4063156247138977,-0.0965389907360076,original,0.46,1,0.03920808807015419,0.009697049250154414,0.004431159714403416,0.0014206087589264116,-0.0033814236521720886,-0.0024865681678056806,0.021327253079539338,-0.01847684383392334,-0.0030790865421295166,-0.010196920707821855,0.015315246650357541,0.17205356247723103
27,0.4140132665634155,-0.096694678068161,original,0.46,1,0.038622889667749405,0.00903485545099927,0.0043229965806209315,0.0013712859153747758,-0.0033679381012916565,-0.0023377055674791425,0.018051560332769875,-0.016092956066131592,-0.002926670014858246,-0.007636111453175554,0.015478841331977519,0.17540362663567066
28,0.4204081296920776,-0.1092793270945549,targeted,0.46,1,0.03632752597332001,0.011506158852801594,0.0063613465282962595,0.001780918836593648,-0.003310680389404297,-0.005131710544228563,0.015529305710002116,-0.01409730315208435,-0.002863384783267975,-0.00585033394396306,0.015109670853635569,0.1789578590542078
29,0.4126269817352295,-0.1127190440893173,targeted,0.46,1,0.03791622444987297,0.012264865119485059,0.0064192630830624715,0.0018244898319244585,-0.0033075064420700073,-0.005190238580107698,0.01999134517729597,-0.01737615466117859,-0.0030253902077674866,-0.009411171302199373,0.015056525734281978,0.1725510861724615
32,0.4252530634403229,-0.1087189391255378,targeted,0.46,1,0.03552308306097984,0.011012773194150869,0.006328287909228627,0.0017435765266418657,-0.0033186674118041992,-0.0050983934104442685,0.012333746952514858,-0.011405616998672485,-0.002784915268421173,-0.0037785528600216,0.015170291551010115,0.18375317379832268
67,0.4106421172618866,-0.1034040749073028,targeted,0.46,1,0.037347082048654556,0.012358311699609046,0.006404644469907621,0.0018676435947418413,-0.0032899901270866394,-0.005167914777994165,0.021199848568000525,-0.018117249011993408,-0.003083951771259308,-0.010568259507417688,0.015120560877684028,0.17134562507271767
14,0.4063156247138977,-0.0965389907360076,original,0.47,1,0.039500731974840164,0.010092117012034501,0.004295696029815845,0.0014607918262481423,-0.0033249258995056152,-0.0022943320125341504,0.021951191943116094,-0.01935136318206787,-0.002972826361656189,-0.00992682598531247,0.015336430855620475,0.17260431312024593
27,0.4140132665634155,-0.096694678068161,original,0.47,1,0.038622889667749405,0.00948682168004742,0.004252606752018149,0.0014134061336517068,-0.0033163949847221375,-0.0022557640820741742,0.018542133847016782,-0.016880542039871216,-0.002805091440677643,-0.007140692546963701,0.01548720545665578,0.1745691169053316
28,0.4204081296920776,-0.1092793270945549,targeted,0.47,1,0.03632752597332001,0.012346189601127872,0.006301908708212399,0.0018198800086974831,-0.003270648419857025,-0.0050700048357248395,0.015370940292287564,-0.014242380857467651,-0.002735726535320282,-0.005092758908867845,0.015125188231209454,0.1839920226484537
29,0.4126269817352295,-0.1127190440893173,targeted,0.47,1,0.03791622444987297,0.01296953566804058,0.00638089065706006,0.0018627059459686013,-0.0032605305314064026,-0.005158975943923005,0.020339273974614578,-0.018106132745742798,-0.0028897300362586975,-0.008803606256842622,0.014976805268210918,0.17279133759438992
32,0.4252530634403229,-0.1087189391255378,targeted,0.47,1,0.03552308306097984,0.011921486863153868,0.006251950993684533,0.0017824482917785378,-0.003286898136138916,-0.005010595768690118,0.011988265457993683,-0.011284559965133667,-0.0026379525661468506,-0.003068944662809381,0.015180213848704117,0.18380142375826836
67,0.4106421172618866,-0.1034040749073028,targeted,0.47,1,0.037347082048654556,0.013019639779293725,0.006372091123613485,0.0019054424762725564,-0.003238074481487274,-0.0051466210186481565,0.0217283453011462,-0.019064396619796753,-0.0029483288526535034,-0.009998856335878381,0.015026217880385979,0.17354636266827583
14,0.4063156247138977,-0.0965389907360076,original,0.48,1,0.039500731974840164,0.010635483562324882,0.004250324866878388,0.001513551473617536,-0.0032806023955345154,-0.0022387655824422925,0.022543888063624024,-0.02021247148513794,-0.002876177430152893,-0.00956088326871396,0.015331317194194345,0.17229545675218105
27,0.4140132665634155,-0.096694678068161,original,0.48,1,0.038622889667749405,0.010003020011062857,0.004202663511612528,0.0014645266532897772,-0.0032713934779167175,-0.0021944309026002973,0.018733937858683998,-0.017271578311920166,-0.002709507942199707,-0.006731387451291093,0.015506537250004093,0.17512373812496662
28,0.4204081296920776,-0.1092793270945549,targeted,0.48,1,0.03632752597332001,0.012910136707096724,0.006219673489836404,0.0018466222286224188,-0.003228992223739624,-0.004984770193696031,0.015170696425865136,-0.014243483543395996,-0.002603083848953247,-0.004527379050850877,0.01511745205447364,0.18306597508490086
29,0.4126269817352295,-0.1127190440893173,targeted,0.48,1,0.03791622444987297,0.013475692461577026,0.006306405144212904,0.0018862295150756658,-0.0032217279076576233,-0.005082652196288118,0.020329737715734833,-0.018444150686264038,-0.0027769729495048523,-0.008087024316191682,0.014983028920958546,0.17424196563661098
32,0.4252530634403229,-0.1087189391255378,targeted,0.48,1,0.03552308306097984,0.012538060530463609,0.006166281138855999,0.0018128859996795477,-0.0032456666231155396,-0.004919564574956903,0.011787781442463136,-0.011217057704925537,-0.002499811351299286,-0.0026230423152446836,0.015187094953851739,0.18392248079180717
67,0.4106421172618866,-0.1034040749073028,targeted,0.48,1,0.037347082048654556,0.013524834443101286,0.006304113328614166,0.001928668022155744,-0.0031986162066459656,-0.005078478008508691,0.021830599250802458,-0.01954016089439392,-0.0028332695364952087,-0.009312881380319604,0.014949926317896437,0.1727733500301838
